timestamp,proc_cpu,proc_mem,rss_kb,sys_cpu,sys_mem,threads,state
2026-09-10 16:43:52,4.2,0.1,18228,0.0,3.7,1,SN
2026-09-10 16:43:53,3.1,0.2,43832,0.0,3.9,1,SN
2026-09-10 16:43:54,2.0,0.2,43832,0.0,3.9,1,SN
2026-09-10 16:43:55,1.4,0.2,43832,1.6,3.9,1,SN
2026-09-10 16:43:57,2.0,0.4,69436,0.0,4.1,1,SN
2026-09-10 16:43:58,1.6,0.4,69436,0.0,4.1,1,SN
2026-09-10 16:43:59,1.7,0.5,95040,0.0,4.3,1,SN
2026-09-10 16:44:00,1.5,0.5,95040,0.0,4.1,1,SN
2026-09-10 16:44:02,1.3,0.5,95040,0.0,4.1,1,SN
2026-09-10 16:44:03,1.4,0.7,120644,0.0,4.3,1,SN
2026-09-10 16:44:04,1.3,0.7,120644,1.6,4.3,1,SN
2026-09-10 16:44:05,1.4,0.8,146248,0.0,4.5,1,SN
2026-09-10 16:44:07,1.3,0.8,146248,0.0,4.5,1,SN
2026-09-10 16:44:08,1.2,0.8,146248,4.8,4.7,1,SN
2026-09-10 16:44:09,1.3,1.0,171852,0.0,4.7,1,SN
2026-09-10 16:44:10,1.2,1.0,171852,0.0,4.7,1,SN
2026-09-10 16:44:12,1.3,1.2,197456,0.0,4.7,1,SN
2026-09-10 16:44:13,1.2,1.2,197456,1.6,4.8,1,SN
2026-09-10 16:44:14,1.3,1.3,223060,1.6,5.0,1,SN
2026-09-10 16:44:15,1.2,1.3,223060,0.0,5.0,1,SN
2026-09-10 16:44:17,1.2,1.3,223060,0.0,5.0,1,SN
2026-09-10 16:44:18,1.3,1.5,248664,0.0,5.1,1,SN
2026-09-10 16:44:19,1.2,1.5,248664,0.0,5.2,1,SN
2026-09-10 16:44:21,1.3,1.6,274268,0.0,5.4,1,SN
2026-09-10 16:44:22,1.2,1.6,274268,0.0,5.2,1,SN
2026-09-10 16:44:23,1.2,1.6,274268,0.0,5.2,1,SN
